ward_id,avg_risk,total_grids,high_risk_grids,readiness_score,status
40,0.7432623901823638,4,4.0,25.673760981763614,CRITICAL
41,0.7155597457168528,11,11.0,28.444025428314724,CRITICAL
42,0.7244845289982623,7,7.0,27.551547100173767,CRITICAL
43,0.7250856408268096,8,8.0,27.49143591731904,CRITICAL
44,0.7298231049028037,20,20.0,27.017689509719634,CRITICAL
45,0.7028775491600051,7,7.0,29.712245083999488,CRITICAL
46,0.7248520846888858,4,4.0,27.514791531111417,CRITICAL
47,0.7117235351786707,3,3.0,28.82764648213293,CRITICAL
48,0.727636865395402,6,6.0,27.236313460459805,CRITICAL
49,0.6878975655250028,12,12.0,31.21024344749972,CRITICAL
5,0.7247611341598977,47,47.0,27.523886584010228,CRITICAL
50,0.6911551231780805,12,12.0,30.884487682191953,CRITICAL
51,0.684362485158412,7,7.0,31.563751484158797,CRITICAL
52,0.6889627107132001,4,4.0,31.103728928679985,CRITICAL
53,0.6699794606384708,10,10.0,33.00205393615292,CRITICAL
54,0.6784839841801298,9,9.0,32.15160158198702,CRITICAL
55,0.6644331747815156,7,7.0,33.55668252184844,CRITICAL
56,0.6428095674771533,8,8.0,35.71904325228466,CRITICAL
57,0.7022557324435349,13,13.0,29.77442675564651,CRITICAL
58,0.7072306382166964,8,8.0,29.27693617833036,CRITICAL
59,0.6842578936519422,12,12.0,31.574210634805777,CRITICAL
6,0.6992278457442098,18,18.0,30.07721542557902,CRITICAL
60,0.7015424430927688,14,14.0,29.84575569072312,CRITICAL
61,0.6418552952620528,3,3.0,35.81447047379472,CRITICAL
62,0.6695851990002181,7,7.0,33.041480099978195,CRITICAL
63,0.6707788994329233,7,7.0,32.922110056707666,CRITICAL
64,0.6647040517899352,4,4.0,33.529594821006484,CRITICAL
65,0.6343586094627335,3,3.0,36.56413905372665,CRITICAL
66,0.6273525078284659,8,8.0,37.264749217153415,CRITICAL
67,0.6401031962411078,8,8.0,35.98968037588922,CRITICAL
68,0.6509614803357407,9,9.0,34.903851966425925,CRITICAL
69,0.6132744432669793,8,7.0,38.672555673302064,CRITICAL
7,0.7188171669630501,67,67.0,28.11828330369499,CRITICAL
